iter	Logloss
0	0.635159877
1	0.581359979
2	0.5326238681
3	0.4928672315
4	0.4564410401
5	0.4258542923
6	0.3972054199
7	0.3727295457
8	0.3513444255
9	0.3312611291
10	0.3161965194
11	0.2994754579
12	0.2837301776
13	0.2706248358
14	0.2582219225
15	0.249476722
16	0.2390923214
17	0.2305635958
18	0.2226732165
19	0.2143967717
20	0.2076260189
21	0.2016299827
22	0.1957578416
23	0.1906908113
24	0.1856625309
25	0.1808880987
26	0.176245856
27	0.172946647
28	0.1693873752
29	0.1662883019
30	0.1629881133
31	0.1600681281
32	0.1573035513
33	0.1546466588
34	0.1520252644
35	0.1499089931
36	0.147817737
37	0.1452693547
38	0.1433522649
39	0.1416160106
40	0.1397384182
41	0.1379595621
42	0.1365031429
43	0.1352575004
44	0.1338126283
45	0.1324360109
46	0.1310123004
47	0.1298013884
48	0.1281015986
49	0.1268822471
50	0.125638819
51	0.1245098304
52	0.1234854363
53	0.1225584055
54	0.1217037572
55	0.1209512531
56	0.1199923823
57	0.1188493653
58	0.1178282049
59	0.1169490589
60	0.1163773779
61	0.1156028368
62	0.1146994918
63	0.113619035
64	0.113073675
65	0.1121433612
66	0.1114105605
67	0.1108009675
68	0.1098555954
69	0.1090681379
70	0.1084571
71	0.1076718969
72	0.1071156513
73	0.1065287303
74	0.1059116116
75	0.1053759551
76	0.1049479354
77	0.1042269115
78	0.1037311784
79	0.1032372394
80	0.1028068347
81	0.1021695128
82	0.1017210585
83	0.1014245355
84	0.1007868958
85	0.1004171583
86	0.09991336263
87	0.09942630862
88	0.09888229881
89	0.09836767005
90	0.0979712108
91	0.09762880688
92	0.09726849337
93	0.09688064772
94	0.0964461495
95	0.09618484413
96	0.09573046531
97	0.09535483741
98	0.09493210363
99	0.09452300576
100	0.09408902864
101	0.0937715725
102	0.09328733659
103	0.0929776346
104	0.0926831387
105	0.09236133039
106	0.09208377186
107	0.09174398618
108	0.09141900229
109	0.09103565364
110	0.09073853902
111	0.0904058467
112	0.09002841096
113	0.0896537049
114	0.08927920968
115	0.08896180657
116	0.08868974869
117	0.0884253736
118	0.08812823979
119	0.0878119567
120	0.08740491632
121	0.08711460839
122	0.08684440409
123	0.08656807125
124	0.0862972733
125	0.0859510461
126	0.08549473799
127	0.08508049958
128	0.08474651943
129	0.08451791903
130	0.08411185586
131	0.08370494133
132	0.08344149617
133	0.08319440497
134	0.08281684382
135	0.08252616756
136	0.08218263889
137	0.08187170759
138	0.08169120537
139	0.08149863208
140	0.08121103353
141	0.08089710226
142	0.08048957549
143	0.08015630492
144	0.07984399351
145	0.07953111368
146	0.07929078895
147	0.07910965583
148	0.07888463944
149	0.07857421157
150	0.0782996062
151	0.07808441404
152	0.07779295375
153	0.07764997958
154	0.07746257905
155	0.07728616505
156	0.07714385116
157	0.07688038918
158	0.07670820184
159	0.0765736816
160	0.07642060362
161	0.07603480556
162	0.07569344466
163	0.0754222876
164	0.07524692031
165	0.07489168465
166	0.07460948117
167	0.07445136213
168	0.07420614069
169	0.07399629771
170	0.07376776229
171	0.07356456198
172	0.07335072681
173	0.07315943038
174	0.0730105001
175	0.07287052325
176	0.07272484207
177	0.07244792429
178	0.07228619857
179	0.07208490413
180	0.07193883693
181	0.07175578979
182	0.07152812593
183	0.07135057898
184	0.07102308222
185	0.07077395506
186	0.0705359104
187	0.07039612745
188	0.07015811281
189	0.06984095624
190	0.06964345846
191	0.06950138764
192	0.06924489292
193	0.06909238872
194	0.06883870284
195	0.06868322089
196	0.06850932761
197	0.0682938186
198	0.0681010634
199	0.06784767435
200	0.0676624522
201	0.06746570618
202	0.06724903392
203	0.06714196828
204	0.06696800792
205	0.06682007465
206	0.06664927742
207	0.06648301605
208	0.06634829453
209	0.06616448704
210	0.0659739895
211	0.06584128623
212	0.0657015529
213	0.06555418406
214	0.06544931051
215	0.06531905666
216	0.06514056672
217	0.06498146333
218	0.06479882133
219	0.06459364954
220	0.06445018619
221	0.06435553444
222	0.06412411072
223	0.0639910665
224	0.06385454482
225	0.06367489586
226	0.06347330983
227	0.06329909758
228	0.06311995034
229	0.06293387396
230	0.06281286654
231	0.06266553599
232	0.06252374775
233	0.06243732263
234	0.06226915357
235	0.06214512434
236	0.06190410271
237	0.06178109589
238	0.0616845866
239	0.06156072493
240	0.06140521318
241	0.06116148229
242	0.06103352696
243	0.06088320175
244	0.06068617086
245	0.06057857527
246	0.06044066887
247	0.0603091722
248	0.06016103565
249	0.06006755291
250	0.0599225111
251	0.05985145846
252	0.05965173362
253	0.05950403802
254	0.05934504735
255	0.05912891829
256	0.05893781419
257	0.05875401965
258	0.05869137874
259	0.0585054902
260	0.05834574469
261	0.05824907008
262	0.05806934527
263	0.05793577067
264	0.05782175278
265	0.05758292243
266	0.05747923435
267	0.05728150114
268	0.05712064192
269	0.05692882768
270	0.05677239051
271	0.05664615498
272	0.05648170796
273	0.05637078519
274	0.05622062291
275	0.05609948499
276	0.05597092533
277	0.05579938996
278	0.05570610764
279	0.05553463648
280	0.05542526561
281	0.05526952289
282	0.05506572014
283	0.05491177112
284	0.05472616765
285	0.05462682136
286	0.05453480172
287	0.0544593171
288	0.05424412063
289	0.05414807377
290	0.05394155944
291	0.05382998382
292	0.05373874197
293	0.05363213675
294	0.05347445188
295	0.05341257933
296	0.05330686998
297	0.05320232036
298	0.05301884044
299	0.05286129724
